task_id,correct,tool_calls,thinking_blocks,repl_timeouts,events,pred_final,gold,trace_path
1336,True,4,0,0,10,24.457687,24.457687,results/v23_gpt5_hard_all378_FINAL/1336/sessions/normal_agent.jsonl
1341,True,4,0,0,10,0.369324,0.369324,results/v23_gpt5_hard_all378_FINAL/1341/sessions/normal_agent.jsonl
1343,True,12,0,0,37,0.345407,0.345407,results/v23_gpt5_hard_all378_FINAL/1343/sessions/normal_agent.jsonl
1344,False,3,0,0,10,0.335778,0.347431,results/v23_gpt5_hard_all378_FINAL/1344/sessions/normal_agent.jsonl
1347,False,19,0,0,44,0.330000,0.626512,results/v23_gpt5_hard_all378_FINAL/1347/sessions/normal_agent.jsonl
1348,False,16,0,0,39,Not Applicable,0.625278,results/v23_gpt5_hard_all378_FINAL/1348/sessions/normal_agent.jsonl
1358,True,6,0,0,20,28.495455,28.495455,results/v23_gpt5_hard_all378_FINAL/1358/sessions/normal_agent.jsonl
1365,False,4,0,0,10,26.970904,25.891435,results/v23_gpt5_hard_all378_FINAL/1365/sessions/normal_agent.jsonl
1366,True,5,0,0,14,24.635957,24.635957,results/v23_gpt5_hard_all378_FINAL/1366/sessions/normal_agent.jsonl
1385,False,4,0,0,12,6.166786,5.866154,results/v23_gpt5_hard_all378_FINAL/1385/sessions/normal_agent.jsonl
1394,True,6,0,0,19,6.883221,6.883221,results/v23_gpt5_hard_all378_FINAL/1394/sessions/normal_agent.jsonl
1401,False,5,0,0,13,0.120120,0.115980,results/v23_gpt5_hard_all378_FINAL/1401/sessions/normal_agent.jsonl
1417,True,3,0,0,11,5.193265,5.193265,results/v23_gpt5_hard_all378_FINAL/1417/sessions/normal_agent.jsonl
1420,False,4,0,0,10,8.140000,6.088966,results/v23_gpt5_hard_all378_FINAL/1420/sessions/normal_agent.jsonl
1427,True,8,0,0,18,7.229203,7.229203,results/v23_gpt5_hard_all378_FINAL/1427/sessions/normal_agent.jsonl
1431,False,25,0,0,77,Not Applicable,25.149238,results/v23_gpt5_hard_all378_FINAL/1431/sessions/normal_agent.jsonl
1433,False,8,0,0,18,"3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513",5813,results/v23_gpt5_hard_all378_FINAL/1433/sessions/normal_agent.jsonl
1434,False,10,0,0,22,"3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513",5813,results/v23_gpt5_hard_all378_FINAL/1434/sessions/normal_agent.jsonl
1435,False,7,0,0,16,"3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513",5813,results/v23_gpt5_hard_all378_FINAL/1435/sessions/normal_agent.jsonl
1436,False,7,0,0,22,"3000,3001,3002,3003,7011,7032,7512,7513","5814, 5815, 7832, 7922, 7995, 7999",results/v23_gpt5_hard_all378_FINAL/1436/sessions/normal_agent.jsonl
1437,False,6,0,0,16,"3000, 3001, 3002, 3003, 7011, 7032, 7231, 7298, 7512, 7513, 7991, 8011, 8021, 8049, 8062","5814, 5815, 7832, 7922, 7995, 7999",results/v23_gpt5_hard_all378_FINAL/1437/sessions/normal_agent.jsonl
1438,False,12,0,0,30,"7231, 7298, 7991, 8011, 8021, 8049, 8062","5411, 5412, 5499, 5812, 5911, 5983",results/v23_gpt5_hard_all378_FINAL/1438/sessions/normal_agent.jsonl
1439,False,11,0,0,24,"7231, 7298, 7991, 8011, 8021, 8049, 8062","5411, 5412, 5499, 5812, 5911, 5983",results/v23_gpt5_hard_all378_FINAL/1439/sessions/normal_agent.jsonl
1440,False,4,0,0,10,"7231, 7298, 7991, 8011, 8021, 8049, 8062","5411, 5412, 5499, 5812, 5911, 5983",results/v23_gpt5_hard_all378_FINAL/1440/sessions/normal_agent.jsonl
1441,False,5,0,0,17,"7231, 7298, 7991, 8011, 8021, 8049, 8062","5411, 5412, 5499, 5812, 5911, 5983",results/v23_gpt5_hard_all378_FINAL/1441/sessions/normal_agent.jsonl
1442,False,6,0,0,14,"7231,7298,7991,8011,8021,8049,8062","5411, 5412, 5499, 5812, 5911, 5983",results/v23_gpt5_hard_all378_FINAL/1442/sessions/normal_agent.jsonl
1443,True,4,0,0,10,"[""C""]",['C'],results/v23_gpt5_hard_all378_FINAL/1443/sessions/normal_agent.jsonl
1444,False,14,0,0,32,['E'],['C'],results/v23_gpt5_hard_all378_FINAL/1444/sessions/normal_agent.jsonl
1445,False,8,0,0,18,['A'],['C'],results/v23_gpt5_hard_all378_FINAL/1445/sessions/normal_agent.jsonl
1446,False,11,0,0,34,['A'],B,results/v23_gpt5_hard_all378_FINAL/1446/sessions/normal_agent.jsonl
1447,False,11,0,0,24,Not Applicable,['C'],results/v23_gpt5_hard_all378_FINAL/1447/sessions/normal_agent.jsonl
1448,False,4,0,0,10,['E'],['C'],results/v23_gpt5_hard_all378_FINAL/1448/sessions/normal_agent.jsonl
1449,False,16,0,0,45,"[""D""]",['C'],results/v23_gpt5_hard_all378_FINAL/1449/sessions/normal_agent.jsonl
1450,False,8,0,0,21,"[""F""]",B,results/v23_gpt5_hard_all378_FINAL/1450/sessions/normal_agent.jsonl
1451,False,8,0,0,23,['F'],B,results/v23_gpt5_hard_all378_FINAL/1451/sessions/normal_agent.jsonl
1452,False,13,0,0,39,"[""B""]",['C'],results/v23_gpt5_hard_all378_FINAL/1452/sessions/normal_agent.jsonl
1453,False,5,0,0,12,['B'],C,results/v23_gpt5_hard_all378_FINAL/1453/sessions/normal_agent.jsonl
1454,False,12,0,0,38,"[""E""]",B,results/v23_gpt5_hard_all378_FINAL/1454/sessions/normal_agent.jsonl
1455,False,4,0,0,10,['F'],B,results/v23_gpt5_hard_all378_FINAL/1455/sessions/normal_agent.jsonl
1456,False,2,0,0,7,,['C'],results/v23_gpt5_hard_all378_FINAL/1456/sessions/normal_agent.jsonl
1457,False,8,0,0,24,['A'],C,results/v23_gpt5_hard_all378_FINAL/1457/sessions/normal_agent.jsonl
1458,False,6,0,0,14,['E'],B,results/v23_gpt5_hard_all378_FINAL/1458/sessions/normal_agent.jsonl
1459,False,5,0,0,12,"[""F""]",B,results/v23_gpt5_hard_all378_FINAL/1459/sessions/normal_agent.jsonl
1460,False,11,0,0,24,"[""E""]",['C'],results/v23_gpt5_hard_all378_FINAL/1460/sessions/normal_agent.jsonl
1461,False,11,0,0,24,['A'],['C'],results/v23_gpt5_hard_all378_FINAL/1461/sessions/normal_agent.jsonl
1462,False,3,0,0,8,['F'],B,results/v23_gpt5_hard_all378_FINAL/1462/sessions/normal_agent.jsonl
1463,True,4,0,0,10,"3,4,5,7,8,9,11,15,17,18,20,21,22,25,30,34,36,38,40,42,44,45,47,48,50,55,58,59,62,66,69,73,78,80,82,86,87,90,93,95,96,97,100,101,103,104,106,107,108,109,110,116,119,122,123,127,132,134,136,138,139,142,","3, 4, 5, 7, 8, 9, 11, 15, 17, 18, 20, 21, 22, 25, 30, 34, 36, 38, 40, 42, 44, 45, 47, 48, 50, 55, 58, 59, 62, 66, 69, 73, 78, 80, 82, 86, 87, 90, 93, 95, 96, 97, 100, 101, 103, 104, 106, 107, 108, 109",results/v23_gpt5_hard_all378_FINAL/1463/sessions/normal_agent.jsonl
1465,True,5,0,0,12,"1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 39, 40, 44, 47, 48, 49, 50, 55, 57, 58, 62, 63, 66, 69, 78, 80, 85, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122,","1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 39, 40, 44, 47, 48, 49, 50, 55, 57, 58, 62, 63, 66, 69, 78, 80, 85, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122,",results/v23_gpt5_hard_all378_FINAL/1465/sessions/normal_agent.jsonl
1467,True,7,0,0,16,"5, 9, 19, 20, 24, 30, 32, 33, 43, 48, 58, 70, 77, 78, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 134, 135, 137, 148, 152, 161, 164, 169, 179, 183, 185, 192, 199, 203, 205, 213, 215, 223, 227, 228, ","5, 9, 19, 20, 24, 30, 32, 33, 43, 48, 58, 70, 77, 78, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 134, 135, 137, 148, 152, 161, 164, 169, 179, 183, 185, 192, 199, 203, 205, 213, 215, 223, 227, 228, ",results/v23_gpt5_hard_all378_FINAL/1467/sessions/normal_agent.jsonl
1470,True,5,0,0,12,"3, 4, 5, 7, 8, 9, 11, 15, 17, 18, 20, 21, 22, 25, 27, 30, 34, 36, 38, 40, 42, 44, 45, 48, 50, 55, 58, 59, 69, 73, 78, 86, 87, 90, 93, 95, 96, 97, 100, 101, 103, 104, 106, 107, 108, 109, 110, 116, 119,","3, 4, 5, 7, 8, 9, 11, 15, 17, 18, 20, 21, 22, 25, 27, 30, 34, 36, 38, 40, 42, 44, 45, 48, 50, 55, 58, 59, 69, 73, 78, 86, 87, 90, 93, 95, 96, 97, 100, 101, 103, 104, 106, 107, 108, 109, 110, 116, 119,",results/v23_gpt5_hard_all378_FINAL/1470/sessions/normal_agent.jsonl
1472,True,6,0,0,14,"1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 27, 30, 35, 36, 38, 40, 44, 48, 50, 55, 57, 58, 63, 69, 78, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122, 123, 125, 127, 129, 130","1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 27, 30, 35, 36, 38, 40, 44, 48, 50, 55, 57, 58, 63, 69, 78, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122, 123, 125, 127, 129, 130",results/v23_gpt5_hard_all378_FINAL/1472/sessions/normal_agent.jsonl
1473,True,11,0,0,24,"5, 9, 20, 27, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 78, 90, 94, 96, 101, 108, 110, 117, 118, 122, 144, 145, 152, 153, 156, 159, 161, 162, 170, 193, 199, 205, 213, 223, 227, 233, 242, 260, 262, 274, ","5, 9, 20, 27, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 78, 90, 94, 96, 101, 108, 110, 117, 118, 122, 144, 145, 152, 153, 156, 159, 161, 162, 170, 193, 199, 205, 213, 223, 227, 233, 242, 260, 262, 274, ",results/v23_gpt5_hard_all378_FINAL/1473/sessions/normal_agent.jsonl
1474,True,5,0,0,12,"5, 9, 19, 20, 24, 27, 30, 32, 33, 43, 48, 52, 58, 70, 78, 81, 88, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 135, 148, 152, 153, 161, 164, 179, 183, 185, 192, 199, 203, 204, 205, 213, 223, 227, 238","5, 9, 19, 20, 24, 27, 30, 32, 33, 43, 48, 52, 58, 70, 78, 81, 88, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 135, 148, 152, 153, 161, 164, 179, 183, 185, 192, 199, 203, 204, 205, 213, 223, 227, 238",results/v23_gpt5_hard_all378_FINAL/1474/sessions/normal_agent.jsonl
1475,True,11,0,0,24,"5,9,20,27,28,29,30,37,48,58,61,76,78,84,90,96,101,108,110,122,126,128,131,140,152,153,161,167,177,181,188,199,205,209,212,213,216,223,227,247,262,267,274,279,284,290,302,304,309,314,318,320,322,339,34","5, 9, 20, 27, 28, 29, 30, 37, 48, 58, 61, 76, 78, 84, 90, 96, 101, 108, 110, 122, 126, 128, 131, 140, 152, 153, 161, 167, 177, 181, 188, 199, 205, 209, 212, 213, 216, 223, 227, 247, 262, 267, 274, 279",results/v23_gpt5_hard_all378_FINAL/1475/sessions/normal_agent.jsonl
1477,False,6,0,0,16,"34, 79, 102, 141, 154, 186, 194, 252, 300, 329, 347, 419, 459, 476, 493, 512, 517, 529, 538, 551, 612, 616, 728, 751, 770, 821, 849, 888, 915, 934","3, 4, 5, 7, 8, 9, 11, 15, 17, 18, 20, 21, 22, 25, 30, 34, 36, 38, 40, 42, 44, 45, 48, 50, 55, 58, 59, 69, 73, 79, 86, 87, 90, 93, 95, 96, 97, 100, 101, 102, 103, 104, 107, 108, 110, 116, 119, 122, 123",results/v23_gpt5_hard_all378_FINAL/1477/sessions/normal_agent.jsonl
1480,True,6,0,0,14,"5, 9, 20, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 90, 94, 96, 101, 108, 110, 117, 118, 122, 134, 144, 145, 152, 153, 156, 159, 161, 162, 193, 199, 205, 213, 223, 227, 233, 242, 245, 262, 274, 290, 298","5, 9, 20, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 90, 94, 96, 101, 108, 110, 117, 118, 122, 134, 144, 145, 152, 153, 156, 159, 161, 162, 193, 199, 205, 213, 223, 227, 233, 242, 245, 262, 274, 290, 298",results/v23_gpt5_hard_all378_FINAL/1480/sessions/normal_agent.jsonl
1484,True,6,0,0,14,"3,4,5,7,8,9,11,15,17,18,20,21,22,25,30,34,36,38,40,42,44,45,48,50,55,58,59,69,73,86,87,90,93,95,96,97,100,101,103,104,107,108,110,116,119,120,122,123,127,132,136,138,139,142,143,146,149,152,154,158,16","3, 4, 5, 7, 8, 9, 11, 15, 17, 18, 20, 21, 22, 25, 30, 34, 36, 38, 40, 42, 44, 45, 48, 50, 55, 58, 59, 69, 73, 86, 87, 90, 93, 95, 96, 97, 100, 101, 103, 104, 107, 108, 110, 116, 119, 120, 122, 123, 12",results/v23_gpt5_hard_all378_FINAL/1484/sessions/normal_agent.jsonl
1485,True,6,0,0,14,"1, 2, 5, 6, 8, 9, 10, 12, 14, 15, 20, 21, 22, 23, 25, 30, 34, 35, 36, 45, 48, 49, 50, 51, 55, 56, 57, 58, 60, 65, 69, 71, 83, 86, 87, 89, 90, 91, 95, 96, 98, 100, 101, 103, 107, 108, 110, 112, 113, 11","1, 2, 5, 6, 8, 9, 10, 12, 14, 15, 20, 21, 22, 23, 25, 30, 34, 35, 36, 45, 48, 49, 50, 51, 55, 56, 57, 58, 60, 65, 69, 71, 83, 86, 87, 89, 90, 91, 95, 96, 98, 100, 101, 103, 107, 108, 110, 112, 113, 11",results/v23_gpt5_hard_all378_FINAL/1485/sessions/normal_agent.jsonl
1486,True,4,0,0,10,"1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 40, 44, 48, 49, 50, 55, 57, 58, 60, 63, 69, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 120, 122, 123, 125, 127, 129","1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 40, 44, 48, 49, 50, 55, 57, 58, 60, 63, 69, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 120, 122, 123, 125, 127, 129",results/v23_gpt5_hard_all378_FINAL/1486/sessions/normal_agent.jsonl
1489,True,7,0,0,18,"5,9,20,28,29,30,48,58,61,67,76,84,90,96,101,108,110,120,122,128,131,140,152,161,177,181,188,196,199,205,209,212,213,216,223,227,247,262,267,274,279,284,290,302,304,309,314,318,320,322,339,340,344,346,","5, 9, 20, 28, 29, 30, 48, 58, 61, 67, 76, 84, 90, 96, 101, 108, 110, 120, 122, 128, 131, 140, 152, 161, 177, 181, 188, 196, 199, 205, 209, 212, 213, 216, 223, 227, 247, 262, 267, 274, 279, 284, 290, 3",results/v23_gpt5_hard_all378_FINAL/1489/sessions/normal_agent.jsonl
1493,True,8,0,0,23,"1,3,4,5,8,9,11,12,13,14,15,18,20,23,25,30,35,36,38,39,40,44,48,50,55,57,58,62,63,66,69,80,85,86,87,90,93,95,96,98,101,108,110,113,115,119,122,123,125,127,129,130,133,136,138,139,142,143,146,147,152,15","1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 39, 40, 44, 48, 50, 55, 57, 58, 62, 63, 66, 69, 80, 85, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122, 123, 125, 1",results/v23_gpt5_hard_all378_FINAL/1493/sessions/normal_agent.jsonl
1494,True,8,0,0,20,"5, 9, 20, 26, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 90, 94, 96, 101, 108, 110, 117, 118, 122, 144, 145, 152, 156, 161, 162, 193, 199, 205, 213, 215, 223, 227, 233, 242, 262, 273, 274, 290, 298, 302,","5, 9, 20, 26, 30, 31, 41, 46, 48, 53, 54, 58, 64, 75, 90, 94, 96, 101, 108, 110, 117, 118, 122, 144, 145, 152, 156, 161, 162, 193, 199, 205, 213, 215, 223, 227, 233, 242, 262, 273, 274, 290, 298, 302,",results/v23_gpt5_hard_all378_FINAL/1494/sessions/normal_agent.jsonl
1497,True,4,0,0,14,"5, 9, 20, 30, 48, 58, 90, 96, 101, 108, 110, 122, 152, 161, 199, 205, 213, 215, 223, 227, 262, 273, 274, 290, 302, 304, 309, 314, 316, 320, 322, 344, 346, 362, 364, 395, 405, 406, 407, 408, 434, 449, ","5, 9, 20, 30, 48, 58, 90, 96, 101, 108, 110, 122, 152, 161, 199, 205, 213, 215, 223, 227, 262, 273, 274, 290, 302, 304, 309, 314, 316, 320, 322, 344, 346, 362, 364, 395, 405, 406, 407, 408, 434, 449, ",results/v23_gpt5_hard_all378_FINAL/1497/sessions/normal_agent.jsonl
1500,True,8,0,0,18,"1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 40, 44, 48, 50, 55, 57, 58, 63, 69, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122, 123, 125, 127, 129, 130, 133, 1","1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20, 23, 25, 30, 35, 36, 38, 40, 44, 48, 50, 55, 57, 58, 63, 69, 86, 87, 90, 93, 95, 96, 98, 101, 108, 110, 113, 115, 119, 122, 123, 125, 127, 129, 130, 133, 1",results/v23_gpt5_hard_all378_FINAL/1500/sessions/normal_agent.jsonl
1502,True,9,0,0,20,"5, 9, 19, 20, 24, 30, 32, 33, 43, 48, 58, 70, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 135, 148, 152, 161, 164, 179, 183, 185, 192, 199, 203, 205, 213, 223, 227, 238, 254, 259, 262, 274, 290, 302","5, 9, 19, 20, 24, 30, 32, 33, 43, 48, 58, 70, 90, 92, 96, 99, 101, 105, 108, 110, 111, 122, 135, 148, 152, 161, 164, 179, 183, 185, 192, 199, 203, 205, 213, 223, 227, 238, 254, 259, 262, 274, 290, 302",results/v23_gpt5_hard_all378_FINAL/1502/sessions/normal_agent.jsonl
1504,True,8,0,0,18,"5, 9, 20, 30, 48, 58, 90, 96, 101, 108, 110, 122, 152, 161, 199, 205, 213, 223, 227, 262, 274, 290, 302, 304, 309, 314, 320, 322, 344, 346, 362, 364, 395, 405, 406, 407, 434, 449, 491, 507, 511, 523, ","5, 9, 20, 30, 48, 58, 90, 96, 101, 108, 110, 122, 152, 161, 199, 205, 213, 223, 227, 262, 274, 290, 302, 304, 309, 314, 320, 322, 344, 346, 362, 364, 395, 405, 406, 407, 434, 449, 491, 507, 511, 523, ",results/v23_gpt5_hard_all378_FINAL/1504/sessions/normal_agent.jsonl
1505,False,3,0,0,8,TransactPlus,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1505/sessions/normal_agent.jsonl
1506,True,2,0,0,6,NexPay,NexPay,results/v23_gpt5_hard_all378_FINAL/1506/sessions/normal_agent.jsonl
1507,False,9,0,0,20,TransactPlus,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1507/sessions/normal_agent.jsonl
1508,False,13,0,0,28,GlobalCard,NexPay,results/v23_gpt5_hard_all378_FINAL/1508/sessions/normal_agent.jsonl
1509,False,4,0,0,10,TransactPlus,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1509/sessions/normal_agent.jsonl
1510,False,15,0,0,44,SwiftCharge,NexPay,results/v23_gpt5_hard_all378_FINAL/1510/sessions/normal_agent.jsonl
1511,True,12,0,0,26,GlobalCard,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1511/sessions/normal_agent.jsonl
1512,False,6,0,0,14,SwiftCharge,NexPay,results/v23_gpt5_hard_all378_FINAL/1512/sessions/normal_agent.jsonl
1513,True,10,0,0,22,GlobalCard,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1513/sessions/normal_agent.jsonl
1514,False,10,0,0,28,SwiftCharge,NexPay,results/v23_gpt5_hard_all378_FINAL/1514/sessions/normal_agent.jsonl
1515,False,8,0,0,18,NexPay,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1515/sessions/normal_agent.jsonl
1516,True,25,0,0,77,NexPay,NexPay,results/v23_gpt5_hard_all378_FINAL/1516/sessions/normal_agent.jsonl
1517,False,9,0,0,26,NexPay,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1517/sessions/normal_agent.jsonl
1518,True,6,0,0,14,NexPay,NexPay,results/v23_gpt5_hard_all378_FINAL/1518/sessions/normal_agent.jsonl
1519,True,11,0,0,24,GlobalCard,GlobalCard,results/v23_gpt5_hard_all378_FINAL/1519/sessions/normal_agent.jsonl
1520,False,4,0,0,10,SwiftCharge,NexPay,results/v23_gpt5_hard_all378_FINAL/1520/sessions/normal_agent.jsonl
1531,True,3,0,0,8,0.613347,0.613347,results/v23_gpt5_hard_all378_FINAL/1531/sessions/normal_agent.jsonl
1538,True,4,0,0,11,5.625868,5.625868,results/v23_gpt5_hard_all378_FINAL/1538/sessions/normal_agent.jsonl
1570,True,6,0,0,16,5.504371,5.504371,results/v23_gpt5_hard_all378_FINAL/1570/sessions/normal_agent.jsonl
1574,False,8,0,0,23,27.108636,27.250479,results/v23_gpt5_hard_all378_FINAL/1574/sessions/normal_agent.jsonl
1577,False,13,0,0,28,6.192667,6.580365,results/v23_gpt5_hard_all378_FINAL/1577/sessions/normal_agent.jsonl
1584,True,5,0,0,12,23.883662,23.883662,results/v23_gpt5_hard_all378_FINAL/1584/sessions/normal_agent.jsonl
1593,False,4,0,0,13,0.635000,0.609665,results/v23_gpt5_hard_all378_FINAL/1593/sessions/normal_agent.jsonl
1594,False,3,0,0,10,0.710588,0.622901,results/v23_gpt5_hard_all378_FINAL/1594/sessions/normal_agent.jsonl
1604,True,9,0,0,20,5.579686,5.579686,results/v23_gpt5_hard_all378_FINAL/1604/sessions/normal_agent.jsonl
1615,True,10,0,0,29,23.733459,23.733459,results/v23_gpt5_hard_all378_FINAL/1615/sessions/normal_agent.jsonl
1631,True,6,0,0,17,2.820868,2.820868,results/v23_gpt5_hard_all378_FINAL/1631/sessions/normal_agent.jsonl
1636,False,7,0,0,16,5.544348,5.610599,results/v23_gpt5_hard_all378_FINAL/1636/sessions/normal_agent.jsonl
1641,False,24,0,0,62,Not Applicable,6.591781,results/v23_gpt5_hard_all378_FINAL/1641/sessions/normal_agent.jsonl
1643,True,4,0,0,10,6.862225,6.862225,results/v23_gpt5_hard_all378_FINAL/1643/sessions/normal_agent.jsonl
1645,True,4,0,0,10,22.899657,22.899657,results/v23_gpt5_hard_all378_FINAL/1645/sessions/normal_agent.jsonl
1646,True,4,0,0,10,23.653151,23.653151,results/v23_gpt5_hard_all378_FINAL/1646/sessions/normal_agent.jsonl
1674,True,4,0,0,10,6.858070,6.858070,results/v23_gpt5_hard_all378_FINAL/1674/sessions/normal_agent.jsonl
1675,True,4,0,0,12,6.854747,6.854747,results/v23_gpt5_hard_all378_FINAL/1675/sessions/normal_agent.jsonl
1676,False,15,0,0,43,Not Applicable,6.940959,results/v23_gpt5_hard_all378_FINAL/1676/sessions/normal_agent.jsonl
1679,True,6,0,0,14,23.834676,23.834676,results/v23_gpt5_hard_all378_FINAL/1679/sessions/normal_agent.jsonl
1681,True,12,0,0,26,"286, 381, 454, 473, 477, 536, 572, 709, 741, 813","286, 381, 454, 473, 477, 536, 572, 709, 741, 813",results/v23_gpt5_hard_all378_FINAL/1681/sessions/normal_agent.jsonl
