task_id,topic,level,category,subcategory,notes,gold_short,pred_short
1300,delta_what_if,hard,numeric_close,<5%,diff=0.0241,6.869852,7.03569
1302,delta_what_if,hard,numeric_close,<5%,diff=0.0075,24.465811,24.648299
1417,delta_what_if,hard,numeric_off,<50%,diff=0.1065,5.193265,4.640000
1427,delta_what_if,hard,numeric_off,<50%,diff=0.1028,7.229203,6.486381
1433,merchant_lookup,hard,list_when_single_expected,,,5813,"3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513"
1434,merchant_lookup,hard,list_when_single_expected,,,5813,"3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513"
1436,merchant_lookup,hard,list_no_overlap,,|gold|=6 |pred|=8,"5814, 5815, 7832, 7922, 7995, 7999","3000, 3001, 3002, 3003, 7011, 7032, 7512, 7513"
1437,merchant_lookup,hard,list_no_overlap,,|gold|=6 |pred|=15,"5814, 5815, 7832, 7922, 7995, 7999","3000, 3001, 3002, 3003, 7011, 7032, 7231, 7298, 7512, 7513, "
1439,date_specific,hard,list_no_overlap,,|gold|=6 |pred|=7,"5411, 5412, 5499, 5812, 5911, 5983","7231, 7298, 7991, 8011, 8021, 8049, 8062"
1440,date_specific,hard,list_no_overlap,,|gold|=6 |pred|=7,"5411, 5412, 5499, 5812, 5911, 5983","7231, 7298, 7991, 8011, 8021, 8049, 8062"
1441,merchant_lookup,hard,list_no_overlap,,|gold|=6 |pred|=7,"5411, 5412, 5499, 5812, 5911, 5983","7231, 7298, 7991, 8011, 8021, 8049, 8062"
1442,merchant_lookup,hard,list_no_overlap,,|gold|=6 |pred|=7,"5411, 5412, 5499, 5812, 5911, 5983","7231, 7298, 7991, 8011, 8021, 8049, 8062"
1453,aci_format,hard,wrong_single_value,,,C,['B']
1489,aci_format,hard,list_mostly_wrong,,jaccard=0.06,"5, 9, 20, 28, 29, 30, 48, 58, 61, 67, 76, 84, 90, 96, 101, 1","5, 9, 20, 28, 29, 30, 48, 58, 61 67 76 84 90 96 101 108 110 "
1519,date_specific,hard,wrong_single_value,,,GlobalCard,SwiftCharge
1594,delta_what_if,hard,numeric_off,<50%,diff=0.1408,0.622901,0.710588
1646,delta_what_if,hard,numeric_off,<50%,diff=0.0924,23.653151,25.839160
1683,fee_rule,hard,list_mostly_wrong,,jaccard=0.32,"51, 64, 231, 249, 381, 384, 454, 473, 477, 572, 813","36, 51, 53, 64, 65, 107, 123, 150, 163, 231, 249, 276, 286, "
1709,fee_rule,hard,list_near_match,,jaccard=0.88 extra_in_pred=3 missing=0,"17, 107, 123, 163, 183, 286, 304, 384, 427, 428, 454, 477, 5","17, 107, 123, 163, 183, 286, 304, 384, 398, 427, 428, 454, 4"
1739,fee_rule,hard,token_corruption,,non_ascii=0.67,51.15,′7′
1744,fee_rule,hard,list_partial_overlap,,jaccard=0.45,"12, 16, 36, 38, 51, 64, 65, 79, 84, 95, 107, 123, 134, 141, ","12, 38, 84, 134, 162, 187, 217, 257, 280, 300, 332, 364, 367"
1750,fee_rule,hard,truncated_or_partial,,,17302.64,Now let me read the payments README:
1771,fee_rule,hard,list_near_match,,jaccard=0.97 extra_in_pred=0 missing=1,"29, 36, 51, 64, 65, 89, 107, 123, 150, 163, 276, 304, 381, 3","29, 36, 51, 64, 65, 89, 107, 123, 150, 163, 276, 304, 381, 3"
1775,fee_rule,hard,token_corruption,,non_ascii=0.08,"36, 51, 53, 64, 107, 123, 150, 163, 276, 304, 381, 384, 394,",缓缓In pol pol缓缓缓缓 缓缓  minus rate 缓缓aly缓缓缓缓缓缓缓缓缓缓 缓缓缓缓 but缓缓 缓
1810,fee_rule,hard,truncated_or_partial,,,"36, 51, 65, 107, 123, 141, 150, 163, 183, 276, 286, 304, 359",I'll follow the required workflow to find the applicable Fee
2132,delta_what_if,hard,numeric_near_miss,<0.5%,diff=0.0028,0.61,0.60827000000000
2439,delta_what_if,hard,numeric_near_miss,<0.5%,diff=0.0004,-15.35,-15.343604
2491,delta_what_if,hard,numeric_off,<50%,diff=0.0824,-2.5,-2.29402800000000
2499,delta_what_if,hard,numeric_very_wrong,>=50%,diff=2.6761,-26.74124100000000,44.82037800000000
2507,delta_what_if,hard,wrong_single_value,,,-53.25,RLRLRLRLRLRLRLRLRL MATRLRLRLRLRLRLVALUE RLRLRLRLRLRLRLRLRLOT
2521,date_specific,hard,truncated_or_partial,,,"""""",The merchants affected by Fee ID 1 in 2023 would need to hav
2532,delta_what_if,hard,numeric_off,<50%,diff=0.0751,8001.981776,8603.05278
2533,delta_what_if,hard,numeric_very_wrong,>=50%,diff=1.1129,27899.158020,-3149.626561
2535,delta_what_if,hard,numeric_very_wrong,>=50%,diff=0.8098,18657.348907,3548.025499
2536,delta_what_if,hard,numeric_very_wrong,>=50%,diff=0.9468,26210.609907,1393.434437
2550,delta_what_if,hard,numeric_off,<50%,diff=0.1999,7885.871004,6309.44649
2634,date_specific,hard,token_corruption,,non_ascii=1.00,NexPay:382.85,告诉我行于本于。
2644,date_specific,hard,wrong_single_value,possibly_reversed_direction,question_says_lowest,NexPay:347.81,TransactPlus:616.46
2703,aci_format,hard,wrong_single_value,possibly_reversed_direction,question_says_lowest,D,B:120.08
2715,aci_format,hard,wrong_single_value,possibly_reversed_direction,question_says_lowest,D,C:21.60
2740,aci_format,hard,wrong_single_value,possibly_reversed_direction,question_says_lowest,D,C:17.19
67,other,easy,list_partial_overlap,,jaccard=0.67,"monthly_volume, capture_delay","capture_delay, monthly_volume, intracountry"
68,other,easy,wrong_single_value,,,monthly_fraud_level,"monthly_fraud_level, is_credit"
1444,aci_format,hard,wrong_single_value,,,['C'],['E']
1445,aci_format,hard,wrong_single_value,,,['C'],A
1446,aci_format,hard,wrong_single_value,,,B,A
1448,aci_format,hard,wrong_single_value,,,['C'],['E']
1450,aci_format,hard,wrong_single_value,,,B,['A']
1451,aci_format,hard,wrong_single_value,,,B,['F']
1454,aci_format,hard,wrong_single_value,,,B,E
1455,aci_format,hard,wrong_single_value,,,B,F
1456,aci_format,hard,wrong_single_value,,,['C'],E
1458,aci_format,hard,wrong_single_value,,,B,E
1459,aci_format,hard,wrong_single_value,,,B,F
1460,aci_format,hard,wrong_single_value,,,['C'],E
1461,aci_format,hard,wrong_single_value,,,['C'],E
1462,aci_format,hard,wrong_single_value,,,B,E
2121,delta_what_if,hard,numeric_very_wrong,>=50%,diff=2.0270,0.1,-0.10269600000000
2404,delta_what_if,hard,numeric_very_wrong,>=50%,diff=0.5666,0.01,0.015666
2571,date_specific,hard,wrong_single_value,,,Rafa_AI,"Belles_cookbook_store, Rafa_AI"
2573,date_specific,hard,wrong_single_value,,,Rafa_AI,Martinis_Fine_Steakhouse
2574,date_specific,hard,wrong_single_value,,,Rafa_AI,"Crossfit_Hanna,Golfclub_Baron_Friso,Rafa_AI"
2583,date_specific,hard,wrong_single_value,possibly_reversed_direction,question_says_highest,TransactPlus:2705.92,TransactPlus:1258.94
2608,date_specific,hard,wrong_single_value,possibly_reversed_direction,question_says_lowest,NexPay:62.44,NexPay:5.68
2691,date_specific,hard,wrong_single_value,possibly_reversed_direction,question_says_highest,TransactPlus:3458.48,TransactPlus:2345.67
